year,number all jobs,number rse jobs,percentage rse jobs
2014,30625,4,0.013
2015,59597,13,0.022
2016,68734,29,0.042
2017,75659,61,0.081
2018,76610,51,0.067
2019,76835,105,0.137
2020,40839,71,0.174
2021,50393,81,0.161
